w_ct,w_bio,auc,acc,f1,n,seed,pairing
0.3,0.7,0.998728813559322,0.9696969696969697,0.963855421686747,99,42,label-matched
0.5,0.5,1.0,1.0,1.0,99,42,label-matched
0.7,0.30000000000000004,1.0,1.0,1.0,99,42,label-matched
0.3,0.7,0.3525423728813559,0.31313131313131315,0.37037037037037035,99,42,label-mismatch (control)
0.5,0.5,0.9635593220338984,0.9696969696969697,0.9747899159663865,99,42,label-mismatch (control)
0.7,0.30000000000000004,0.9983050847457627,0.9797979797979798,0.9833333333333333,99,42,label-mismatch (control)
0.3,0.7,0.9995762711864408,0.9696969696969697,0.963855421686747,99,43,label-matched
0.5,0.5,1.0,1.0,1.0,99,43,label-matched
0.7,0.30000000000000004,1.0,1.0,1.0,99,43,label-matched
0.3,0.7,0.37330508474576274,0.3434343434343434,0.4144144144144144,99,43,label-mismatch (control)
0.5,0.5,0.9830508474576272,0.9797979797979798,0.9827586206896551,99,43,label-mismatch (control)
0.7,0.30000000000000004,0.9830508474576272,0.98989898989899,0.9914529914529915,99,43,label-mismatch (control)
0.3,0.7,0.9936440677966103,0.9494949494949495,0.9397590361445783,99,44,label-matched
0.5,0.5,0.9970338983050847,0.98989898989899,0.9873417721518988,99,44,label-matched
0.7,0.30000000000000004,0.9987288135593221,0.98989898989899,0.9873417721518988,99,44,label-matched
0.3,0.7,0.3419491525423729,0.30303030303030304,0.35514018691588783,99,44,label-mismatch (control)
0.5,0.5,0.978813559322034,0.9595959595959596,0.9655172413793104,99,44,label-mismatch (control)
0.7,0.30000000000000004,0.9830508474576272,0.9797979797979798,0.9827586206896551,99,44,label-mismatch (control)
0.3,0.7,0.998728813559322,0.9696969696969697,0.963855421686747,99,45,label-matched
0.5,0.5,1.0,1.0,1.0,99,45,label-matched
0.7,0.30000000000000004,1.0,0.98989898989899,0.9876543209876543,99,45,label-matched
0.3,0.7,0.33516949152542375,0.31313131313131315,0.37037037037037035,99,45,label-mismatch (control)
0.5,0.5,0.9800847457627119,0.9797979797979798,0.9830508474576272,99,45,label-mismatch (control)
0.7,0.30000000000000004,1.0,0.98989898989899,0.9915966386554622,99,45,label-mismatch (control)
0.3,0.7,0.9978813559322034,0.9595959595959596,0.9523809523809523,99,46,label-matched
0.5,0.5,1.0,0.98989898989899,0.9876543209876543,99,46,label-matched
0.7,0.30000000000000004,1.0,0.98989898989899,0.9876543209876543,99,46,label-matched
0.3,0.7,0.3567796610169492,0.30303030303030304,0.35514018691588783,99,46,label-mismatch (control)
0.5,0.5,1.0,0.9797979797979798,0.9827586206896551,99,46,label-mismatch (control)
0.7,0.30000000000000004,1.0,1.0,1.0,99,46,label-mismatch (control)
